pair_id,previous_session,current_session,native_moving_shape_hw,native_fixed_shape_hw,shape_group,included_in_canonical_canvas_derivation
previous_S14__current_S16__plane,S14,S16,"[128, 127]","[128, 127]","(128, 127)",True
previous_S14__current_S7__plane,S14,S7,"[128, 127]","[128, 127]","(128, 127)",True
previous_S14__current_S9__plane,S14,S9,"[128, 127]","[128, 127]","(128, 127)",True
previous_S16__current_S14__plane,S16,S14,"[128, 127]","[128, 127]","(128, 127)",True
previous_S16__current_S7__plane,S16,S7,"[128, 127]","[128, 127]","(128, 127)",True
previous_S16__current_S9__plane,S16,S9,"[128, 127]","[128, 127]","(128, 127)",True
previous_S1__current_S2__plane,S1,S2,"[128, 132]","[128, 132]","(128, 132)",True
previous_S1__current_S3__plane,S1,S3,"[128, 132]","[128, 132]","(128, 132)",True
previous_S1__current_S5__plane,S1,S5,"[128, 132]","[128, 132]","(128, 132)",True
previous_S2__current_S1__plane,S2,S1,"[128, 132]","[128, 132]","(128, 132)",True
previous_S2__current_S3__plane,S2,S3,"[128, 132]","[128, 132]","(128, 132)",True
previous_S2__current_S5__plane,S2,S5,"[128, 132]","[128, 132]","(128, 132)",True
previous_S3__current_S1__plane,S3,S1,"[128, 132]","[128, 132]","(128, 132)",True
previous_S3__current_S2__plane,S3,S2,"[128, 132]","[128, 132]","(128, 132)",True
previous_S3__current_S5__plane,S3,S5,"[128, 132]","[128, 132]","(128, 132)",True
previous_S5__current_S1__plane,S5,S1,"[128, 132]","[128, 132]","(128, 132)",True
previous_S5__current_S2__plane,S5,S2,"[128, 132]","[128, 132]","(128, 132)",True
previous_S5__current_S3__plane,S5,S3,"[128, 132]","[128, 132]","(128, 132)",True
previous_S7__current_S14__plane,S7,S14,"[128, 127]","[128, 127]","(128, 127)",True
previous_S7__current_S16__plane,S7,S16,"[128, 127]","[128, 127]","(128, 127)",True
previous_S7__current_S9__plane,S7,S9,"[128, 127]","[128, 127]","(128, 127)",True
previous_S9__current_S14__plane,S9,S14,"[128, 127]","[128, 127]","(128, 127)",True
previous_S9__current_S16__plane,S9,S16,"[128, 127]","[128, 127]","(128, 127)",True
previous_S9__current_S7__plane,S9,S7,"[128, 127]","[128, 127]","(128, 127)",True
