split,pair_id,ref_pre_ncc,ref_stage3b_ncc,preproc_pre_ncc,dl_ncc,dl_vs_stage3b,dl_vs_pre,warped_min,warped_max,flow_mean_abs,jac_mean,jac_neg_pct
train,previous_S14__current_S7__plane,0.769656352698803,0.8126843571662903,0.5886481091377217,0.5622647163997864,-0.2504196407665039,-0.02638339273793533,0.0,1.0,0.3713975,0.9982815384864807,0.0
train,previous_S16__current_S7__plane,0.887533787637949,0.9099788591265678,0.7251664429980179,0.7095312117240915,-0.20044764740247634,-0.01563523127392641,0.0,1.0,0.3300243,0.9938536882400513,0.0
train,previous_S16__current_S9__plane,0.8017973117530346,0.8334958340440477,0.67903063390931,0.6848556881973351,-0.1486401458467126,0.0058250542880251555,0.0,1.0,0.37558147,0.9861423373222351,0.0
train,previous_S1__current_S2__plane,0.7698351852595806,0.8846325650811195,0.796447591819966,0.8049419043444939,-0.07969066073662567,0.008494312524527814,0.18358526,1.0,0.27213487,0.9915437698364258,0.0
train,previous_S1__current_S3__plane,0.7679651200771331,0.874104306101799,0.7875242493273283,0.7938879397530406,-0.0802163663487584,0.006363690425712276,0.13537829,1.0,0.2639434,0.9912217855453491,0.0
train,previous_S1__current_S5__plane,0.7541393720441394,0.7762351201640235,0.6230766972037388,0.6220153297520428,-0.15421979041198075,-0.0010613674516960492,0.0,1.0,0.29937366,0.9988880753517151,0.0
train,previous_S2__current_S1__plane,0.7698351852595806,0.9096125774085522,0.7830291738762292,0.7769808882822945,-0.13263168912625767,-0.006048285593934666,0.0,1.0,0.28305602,0.990105390548706,0.0
train,previous_S3__current_S1__plane,0.7679651200771331,0.9034694820642472,0.7726606972775669,0.7722626194598337,-0.1312068626044135,-0.00039807781773326667,0.0,1.0,0.28397694,0.9900802969932556,0.0
train,previous_S3__current_S5__plane,0.7004298657178879,0.8759948879480361,0.705845384180259,0.6845301651859957,-0.1914647227620404,-0.021315218994263252,0.0,1.0,0.28479064,0.9908463358879089,0.0
train,previous_S5__current_S1__plane,0.7541393720441394,0.7820272263553407,0.6449068732781884,0.6434743129301931,-0.13855291342514764,-0.0014325603479953264,0.0,1.0,0.2847285,1.0006169080734253,0.0
train,previous_S5__current_S3__plane,0.7004298657178879,0.8496759742498398,0.6994777467118767,0.7221569663961294,-0.1275190078537104,0.022679219684252683,0.0,1.0,0.26560813,0.9913409948348999,0.0
train,previous_S7__current_S14__plane,0.769656352698803,0.7886635735630989,0.5433529773000101,0.5566514591551772,-0.2320121144079217,0.013298481855167132,0.0,1.0,0.32096064,0.9913854002952576,0.0
train,previous_S7__current_S16__plane,0.887533787637949,0.9344953447580338,0.7199249421315355,0.7352134883561583,-0.19928185640187546,0.015288546224622834,0.0,1.0,0.4102374,0.9939422607421875,0.0
train,previous_S7__current_S9__plane,0.8675171285867691,0.9315012991428376,0.8758841675994951,0.8391198140921342,-0.09238148505070343,-0.03676435350736085,0.0,1.0,0.31253377,0.9917425513267517,0.0
train,previous_S9__current_S16__plane,0.8017973117530346,0.8831082156726292,0.6598196952584726,0.6989328928284027,-0.18417532284422655,0.039113197569930036,0.0,1.0,0.4354318,0.9894876480102539,0.0
train,previous_S9__current_S7__plane,0.8675171285867691,0.9540936090052128,0.8790619223959921,0.826254552201899,-0.12783905680331376,-0.052807370194093095,0.0,1.0,0.4177351,0.99245685338974,0.0
val,previous_S14__current_S16__plane,0.8595729592655386,0.8967136836477688,0.7411102941524598,0.7107465276789267,-0.18596715596884217,-0.030363766473533116,0.0,1.0,0.41563502,0.9925742745399475,0.0
val,previous_S16__current_S14__plane,0.8595729592655386,0.8563561109559876,0.7335559080362783,0.7088494174157934,-0.1475066935401942,-0.02470649062048491,0.0,1.0,0.32096714,0.9918188452720642,0.0
val,previous_S2__current_S5__plane,0.6069057174026966,0.7257391586899757,0.47949137485934257,0.4737114800588946,-0.25202767863108116,-0.005779894800447993,0.0,1.0,0.26577395,0.9933784008026123,0.0
val,previous_S5__current_S2__plane,0.6069057174026966,0.7002137564122677,0.46868296636684487,0.5046005528567089,-0.19561320355555878,0.03591758648986404,0.0,1.0,0.2737903,0.9909827709197998,0.0
test,previous_S14__current_S9__plane,0.7352511786988803,0.7212784747992242,0.49915321157806686,0.5014492069700912,-0.21982926782913303,0.0022959953920243525,0.0,1.0,0.34904405,0.992201030254364,0.0
test,previous_S2__current_S3__plane,0.8549104273319245,0.8575154811143875,0.7500868253587547,0.7363926909293245,-0.121122790185063,-0.013694134429430238,0.0,1.0,0.29784757,0.9997091293334961,0.0
test,previous_S3__current_S2__plane,0.8549104273319245,0.8602804124355317,0.7584390949461941,0.7389923184702221,-0.1212880939653096,-0.01944677647597204,0.0,1.0,0.2831763,1.0005394220352173,0.0
test,previous_S9__current_S14__plane,0.7352511786988803,0.6981918620211738,0.4178040169513316,0.4393231289029989,-0.2588687331181749,0.02151911195166728,0.0,1.0,0.3241277,0.9915926456451416,0.0
